Key,SF_ID-1,SF_ID-2,Customer Name,Street,City,State,Country.region,ZIP,FIPS,lat,long,SalesPerson,Count of YM,Max of YM,Min of YM,Current Customer,Months Since Last Purchase, TotalSales_L12M , SalesPerMonth ,Bucket
2020,00160000010QDnOAAW,,Collins Marine,4444 River Road,Tonawanda,NY,USA,14150,36029,42.99704,-78.878659,Cheyanna Shoaf,12,201608,201509,1,0," $6,125 ", $510 ,3
2031,00160000010QDnzAAG,,Aqua-Mania,45765 State Route 12,Alexandria Bay,NY,USA,13607,36045,44.329266,-75.917864,Cheyanna Shoaf,12,201608,201509,1,0," $6,125 ", $510 ,3
2059,00160000010QGQ5AAO,,Dubois Marine US,25 AUSTIN ROAD,Mahopac,NY,USA,10541,36079,41.369175,-73.771566,Cheyanna Shoaf,12,201608,201509,1,0," $6,125 ", $510 ,3
2088,00160000010QDqLAAW,,North Shore Yacht Sales Inc,Po Box 528,Mattituck,NY,USA,11952,36103,41.00251,-72.54584,Colleen Beacham,12,201608,201509,1,0," $6,125 ", $510 ,3
2120,00160000010QDpLAAW,,Boats By George Inc,18 State Rtes 149 & 9,Lake George,NY,USA,12845,36113,43.415824,-73.712642,Cheyanna Shoaf,12,201608,201509,1,0," $6,125 ", $510 ,3
2137,00160000010Q9LeAAK,,Schronce Powersports,44 Chevy Drive,Taylorsville,NC,USA,28681,37003,35.904353,-81.178569,Christopher Thomas,12,201608,201509,1,0," $6,125 ", $510 ,3
2179,00160000010Q71hAAC,,ProMarine Sales and Service,3821 Durham Chapel Hill Blvd,Durham,NC,USA,27707,37063,35.970716,-78.953751,Christopher Thomas,12,201608,201509,1,0," $6,125 ", $510 ,3
2181,00160000010QBviAAG,,"Grandpa's Sales, Inc",3101 North O'Henry Boulevard,Greensboro,NC,USA,27405,37081,36.116108,-79.755197,Christopher Thomas,12,201608,201509,1,0," $6,125 ", $510 ,4
2186,00160000010Q83EAAS,,Charlotte Ski Boats,1206 Brawley School Road,Mooresville,NC,USA,28117,37097,35.567165,-80.907985,Christopher Thomas,12,201608,201509,1,0," $6,125 ", $510 ,4
2187,00160000010QDfyAAG,,Collins Inc.,4620 Us 70 Business East,Smithfield,NC,USA,27577,37101,35.491133,-78.273162,Christopher Thomas,12,201608,201509,1,0," $6,125 ", $510 ,4
2213,00160000010QDf8AAG,,Marine Warehouse,6921 Market St,Wilmington,NC,USA,28411,37129,34.263009,-77.82842,Christopher Thomas,12,201608,201509,1,0," $6,125 ", $510 ,4
2217,00160000010QAiuAAG,,Saltwater Marine,6130 Carolina Beach Rd,Wilmington,NC,USA,28412,37129,34.114759,-77.900838,Christopher Thomas,12,201608,201509,1,0," $6,125 ", $510 ,4
2289,00160000010QECoAAO,,Islander Marine Sales,5530 E Harbor Rd,Lakeside Marblehead,OH,USA,43440,39123,41.531414,-82.827712,Zach Bower,12,201608,201509,1,0," $6,125 ", $510 ,4
2335,00160000010QB49AAG,,Red Bud Marina,9001 E Highway 88,Claremore,OK,USA,74017,40131,36.417389,-95.66655,Lisa Brownell,12,201608,201509,1,0," $6,125 ", $510 ,4
2365,00160000010QG3OAAW,,Pittsburgh Boats,1401 PREBLE AVENUE,Pittsburgh,PA,USA,15233,42003,40.45279,-80.031581,Nick Glass,12,201608,201509,1,0," $6,125 ", $510 ,4
2376,00160000010QDlyAAG,,Bills Midway Marine,#7 11420 State Hwy 18,Conneaut Lake,PA,USA,16316,42039,41.622893,-80.288915,Nick Glass,12,201608,201509,1,0," $6,125 ", $510 ,4
2383,00160000010Q6W1AAK,,Jim's Anchorage Corp,5090 SCHOOLHOUSE RD,Hesston,PA,USA,16647,42061,40.408888,-78.103657,Nick Glass,12,201608,201509,1,0," $6,125 ", $510 ,4
2461,00160000010Q5oCAAS,,Charleston Boat Emporium,2686 Hwy. 41,Charleston,SC,USA,29492,45015,32.936076,-79.818396,Christopher Thomas,12,201608,201509,1,0," $6,125 ", $510 ,4
2478,00160000010QBf9AAG,,"Seel's Outboard, Inc.",1937 Savannah Highway South,Charleston,SC,USA,29407,45019,32.789287,-80.027315,Christopher Thomas,12,201608,201509,1,0," $6,125 ", $510 ,4
